"edon","disloc2018","disloc2012","esc1","esc3","dsi_pob","pobtot"
16,14,19,5,14,0.426079310921689,1889
16,10,21,8,10,0.65986555072846,2596
16,12,8,9,12,0.645939675174014,1894
16,9,2,13,9,0.726672214464708,1073
16,2,13,14,2,0.824548037395045,986
16,11,23,3,11,0.548541535403374,2653
16,8,3,15,8,0.928389569177732,1459
16,14,19,6,14,0.426079310921689,239
16,1,4,11,1,0.812954696176345,1475
16,6,18,4,6,0.411225756070406,3422
16,4,7,10,4,1,875
16,15,9,2,15,0.788116159864339,1362
16,5,1,1,5,0.820969214371406,1086
16,3,12,12,3,1,6009
16,13,5,7,13,0.964173547702739,1361
16,18,24,18,18,1,10135
16,20,10,22,20,0.649735170935124,1544
16,19,11,20,19,0.538996220518992,1111
16,19,17,21,19,0.538996220518992,358
16,20,10,19,20,0.649735170935124,14331
16,24,14,23,24,1,3028
16,23,20,24,23,1,11080
16,17,6,17,17,1,2485
16,2,13,16,2,0.824548037395045,1250
