"","edon.x","escenario1.x","escenario3","dsi_E1_E3_sec","edon.y","disloc2018","disloc2015","escenario1.y","dsi_E1_E3_pob","pob_total"
"1",24,4,1,0.505,24,4,4,4,0.54148427672956,1602
"2",24,7,3,0.424,24,11,11,7,0.433190899641991,369
"3",24,5,4,0.273,24,14,14,5,0.334703382938122,3325
"4",24,3,5,0.891,24,1,1,3,0.918786648877129,1625
"5",24,2,6,0.541,24,10,10,2,0.663271604938272,1932
"6",24,9,15,1,24,12,12,9,1,10243
"7",24,6,14,0.526,24,13,13,6,0.526624311874598,1417
"8",24,4,1,0.505,24,4,4,1,0.54148427672956,2005
"9",24,14,10,0.314,24,2,5,14,0.240800995863722,13064
"10",24,11,10,0.314,24,2,5,14,0.240800995863722,13064
"11",NA,NA,9,NA,24,7,5,12,0.269896719319563,1521
"12",24,14,10,0.314,24,2,7,10,0.240800995863722,1631
"13",24,11,10,0.314,24,2,7,10,0.240800995863722,1631
"14",24,14,10,0.314,24,2,6,11,0.240800995863722,1448
"15",24,11,10,0.314,24,2,6,11,0.240800995863722,1448
"16",24,14,10,0.314,24,2,6,15,0.240800995863722,968
"17",24,11,10,0.314,24,2,6,15,0.240800995863722,968
"18",24,15,11,0.286,24,8,8,13,0.490500654169256,2528
"19",24,6,7,0.478,24,15,15,8,0.589797648890475,651
