"seccion","munn","edo","edon","disloc2018","disloc2012","pobtot","esc1","esc3","esc3jge","urbana","rural","mixta","SQ","dsi_pob","prop_urbana","prop_rural","prop_mixta","SQ_","dsi_sec"
1,1,"mor",17,9,9,2107,1,1,1,0,0,1,1,0.485,0.535,0.163,0.302,1,0.434
12,2,"mor",17,4,13,2745,11,11,11,0,0,1,11,0.609,0.462,0.327,0.212,11,0.647
24,3,"mor",17,11,18,3542,2,2,2,1,0,0,2,0.424,0.59,0.148,0.262,2,0.434
44,4,"mor",17,10,16,1941,3,3,3,1,0,0,3,0.749,0.548,0.214,0.238,3,0.742
86,5,"mor",17,9,8,1071,4,1,1,1,0,0,1,0.485,0.492,0.246,0.262,1,0.434
97,6,"mor",17,4,14,5717,12,12,11,1,0,0,11,0.609,0.935,0.022,0.043,11,0.647
188,7,"mor",17,2,1,4047,10,9,9,0,0,1,10,0.894,0.8,0.109,0.091,10,0.876
190,7,"mor",17,1,1,3264,8,8,8,1,0,0,8,0.938,0.8,0.109,0.091,8,0.936
256,7,"mor",17,3,2,2520,9,10,10,1,0,0,9,0.888,1,0,0,9,0.844
387,7,"mor",17,5,4,5979,NA,NA,NA,1,0,0,NA,0,1,0,0,NA,0
391,8,"mor",17,8,5,5445,5,4,4,0,0,1,5,1,0.905,0,0.095,5,1
431,11,"mor",17,6,6,1865,6,6,6,1,0,0,6,1,1,0,0,6,1
455,11,"mor",17,12,6,6275,7,7,7,1,0,0,7,1,1,0,0,7,1
