"seccion","munn","edon","disloc2018","disloc2012","pobtot","esc1","esc3","urbana","rural","mixta","pan","pri","prd","SQ","dsi_pob","prop_urbana","prop_rural","prop_mixta","prop_bastion_pan","prop_bastion_pri","prop_bastion_prd","SQ_","dsi_sec"
1,1,7,18,16,5562,5,24,0,0,1,0,1,0,17,0.346,0.149,0.603,0.248,0.148,0.818,0.034,17,0.325
7,2,7,3,3,3339,1,16,1,0,0,0,1,0,3,0.605,0.354,0.477,0.169,0,0.973,0.027,3,0.6
35,4,7,20,7,4060,19,23,0,0,1,0,0,0,7,0.434,0.133,0.796,0.071,0,0.81,0.19,7,0.455
44,5,7,11,12,3226,23,11,1,0,0,0,1,0,22,0.176,0.261,0.648,0.091,0,0.985,0.015,22,0.169
54,6,7,17,17,2716,9,18,0,0,1,0,1,0,17,0.502,0.06,0.761,0.179,0,0.934,0.066,17,0.527
68,7,7,20,4,2233,19,23,1,0,0,0,1,0,7,0.434,0.289,0.4,0.311,0,0.938,0.062,7,0.455
72,8,7,23,23,2123,9,7,1,0,0,0,1,0,17,0.502,0.219,0.518,0.263,0,0.818,0.182,17,0.527
88,9,7,15,15,1760,11,6,1,0,0,0,0,0,15,1,0.328,0.552,0.121,0.377,0.623,0,15,1
130,12,7,2,14,6772,10,9,1,0,0,0,1,0,14,0.383,0.262,0.544,0.194,0.125,0.771,0.104,14,0.278
144,13,7,11,10,3384,23,11,1,0,0,0,1,0,22,0.176,0.227,0.773,0,0,0.865,0.135,22,0.169
163,15,7,24,24,2650,12,19,1,0,0,0,1,0,18,0.457,0.299,0.623,0.078,0.04,0.96,0,18,0.552
186,16,7,9,9,1464,20,20,0,0,1,0,1,0,9,1,0.143,0.771,0.086,0,0.796,0.204,9,1
234,18,7,12,13,1431,4,12,1,0,0,0,1,0,12,0.601,0.232,0.681,0.087,0.052,0.914,0.034,12,0.655
239,19,7,6,6,6070,6,8,1,0,0,0,1,0,6,0.501,0.376,0.532,0.092,0,1,0,6,0.466
331,22,7,21,22,849,23,10,1,0,0,0,1,0,22,0.176,0.1,0.87,0.03,0,0.947,0.053,22,0.169
375,24,7,20,21,2613,19,23,0,0,1,0,1,0,7,0.434,0.164,0.787,0.049,0,0.879,0.121,7,0.455
602,41,7,10,20,4179,6,17,0,0,1,0,1,0,6,0.501,0.175,0.789,0.035,0,0.733,0.267,6,0.466
662,47,7,11,11,2832,23,11,0,0,1,0,0,1,22,0.176,0.25,0.531,0.219,0.045,0.682,0.273,22,0.169
1082,75,7,8,8,2825,22,4,1,0,0,0,0,0,8,0.562,0.228,0.772,0,0,0.872,0.128,8,0.537
1113,77,7,5,5,4271,24,1,1,0,0,0,1,0,5,0.829,0.645,0.29,0.065,0,1,0,5,0.823
1265,90,7,19,18,2574,12,14,1,0,0,0,1,0,18,0.457,0.627,0.366,0.007,0,1,0,18,0.552
1602,102,7,1,1,11313,15,13,1,0,0,0,1,0,1,0.317,0.98,0,0.02,0.742,0.258,0,1,0.254
1930,102,7,1,2,1802,15,13,1,0,0,0,0,0,1,0.317,1,0,0,NA,NA,NA,1,0.254
1976,90,7,19,19,879,2,14,1,0,0,0,0,0,24,0.338,1,0,0,NA,NA,NA,24,0.341
