"seccion","munn","edon","disloc2018","disloc1996","pobtot","esc1","esc3","urbana","rural","mixta","pan","pri","prd","pob_dist","pob_edo","RRI","RRI_1996","RRI_2018","SQ","dsi_pob","prop_urbana","prop_rural","prop_mixta","prop_bastion_pan","prop_bastion_pri","prop_bastion_prd","SQ_","dsi_sec"
1,1,15,14,13,1958,10,4,0,1,1,0,1,0,330478,15066020,0,1.20978830338778,1.01307937122727,10,1,0.132,0.867,0.079,0,1,0,10,1
33,2,15,39,39,2688,17,16,1,0,0,0,1,0,357483,15066020,0,1.12274543908559,0.936549274915015,17,0.906,0.355,0.646,0.135,0.087,0.826,0.087,17,0.929
82,4,15,9,8,1222,9,1,1,0,0,0,1,0,355417,15066020,0,2.98194132712641,0.941993333026964,1,0.366,0.021,0.979,0.105,0.087,0.884,0.029,1,0.455
94,5,15,45,45,2225,5,5,1,0,0,0,1,0,318859,15066020,0,1.06678703939729,1.04999527830309,5,0.315,0.322,0.678,0.119,0.024,0.976,0,5,0.364
108,5,15,10,45,665,8,10,0,1,0,0,1,0,340972,15066020,0,1.06678703939729,0.981900110403331,8,0.418,0.322,0.678,0.119,0.024,0.976,0,8,0.39
151,6,15,7,5,2665,6,9,1,0,0,0,1,0,345171,15066020,0,1.91851724511171,0.969955310395266,9,0.315,0.623,0.376,0.159,0,0.944,0.056,9,0.325
166,8,15,9,9,2162,1,1,0,1,1,0,0,0,355417,15066020,0,2.11660562432478,0.941993333026964,1,0.366,0.101,0.9,0.065,0.01,0.562,0.429,1,0.455
193,9,15,28,28,1664,12,11,1,0,0,0,0,0,343819,15066020,0,1.79899649897071,0.973769467203512,12,0.838,0.39,0.61,0.237,0,0.971,0.029,12,0.878
219,10,15,20,20,2255,36,33,1,0,0,0,0,0,336369,15066020,0,1.01996497894709,0.995336801085845,36,1,0.511,0.489,0.13,0.034,0.933,0.034,36,1
233,11,15,23,23,3793,15,15,1,0,0,0,1,0,347462,15066020,0,0.823117182043001,0.963559884086445,15,0.77,0.414,0.586,0.201,0,0.474,0.526,15,0.737
250,13,15,29,16,1678,42,38,1,0,0,1,0,0,333781,15066020,0,0.680303422328968,1.00305423150043,42,1,0.976,0.024,0.012,0.825,0.142,0.033,42,1
251,13,15,16,16,3665,43,40,1,0,0,0,0,0,328355,15066020,0,0.680303422328968,1.01962949991456,43,1,0.976,0.024,0.012,0.825,0.142,0.033,43,1
417,14,15,13,13,6479,7,3,1,0,0,0,1,0,345097,15066020,0,1.20978830338778,0.970163300302363,7,0.463,0.132,0.867,0.079,0,1,0,7,0.498
511,19,15,4,6,3643,4,2,1,0,0,0,1,0,339549,15066020,0,2.30187246518969,0.986015109584904,2,0.236,0.373,0.627,0.22,0,0.976,0.024,2,0.27
523,20,15,38,38,4059,35,32,1,0,0,0,0,0,342069,15066020,0,0.436897204598173,0.978751200618718,35,0.712,0.993,0.006,0.003,0.105,0.842,0.053,35,0.741
654,23,15,12,36,6236,37,31,1,0,0,0,0,0,332970,15066020,0,1.40574998192196,1.00549732541804,37,0.421,0.432,0.568,0.17,0.25,0.75,0,37,0.444
692,25,15,43,43,2229,38,37,1,0,0,1,0,0,302542,15066020,0,0.68552424607676,1.10662468167872,38,1,0.967,0.032,0.016,0.733,0.267,0,38,1
797,25,15,26,43,1572,39,36,1,0,0,1,0,0,333623,15066020,0,0.68552424607676,1.00352926640083,39,1,0.967,0.032,0.016,0.733,0.267,0,39,1
912,122,15,27,27,2791,14,14,1,0,0,0,0,1,357217,15066020,0,0.461558798962245,0.93724667203533,14,1,0.809,0.191,0.087,0,0.694,0.306,14,1
937,26,15,1,27,11196,13,13,1,0,0,0,1,0,334037,15066020,0,0.461558798962245,1.00228550862463,13,0.93,0.809,0.191,0.087,0,0.694,0.306,13,0.866
1111,30,15,5,40,1952,16,18,1,0,0,0,1,0,356023,15066020,0,0.520774884069325,0.940389931112441,16,0.195,0.954,0.046,0.02,0,0.75,0.25,16,0.234
1149,32,15,3,31,4673,19,17,1,0,0,0,1,0,353992,15066020,0,0.366972159744966,0.945785341037211,19,0.558,0.977,0.024,0.012,0,0.939,0.061,19,0.609
1155,32,15,3,31,4288,18,17,1,0,0,0,1,0,353992,15066020,0,0.366972159744966,0.945785341037211,19,0.558,0.977,0.024,0.012,0,0.939,0.061,19,0.609
1253,60,15,41,31,2062,20,21,1,0,0,0,0,1,364305,15066020,0,0.366972159744966,0.919011390028807,20,1,0.977,0.024,0.012,0,0.939,0.061,20,1
1302,34,15,21,21,2378,25,28,1,0,0,0,0,0,311844,15066020,0,0.609557078434752,1.07361515515593,25,1,1,0,0,0,1,0,25,1
1360,34,15,37,21,3515,26,27,1,0,0,0,1,0,311078,15066020,0,0.609557078434752,1.07625883040409,26,1,1,0,0,0,1,0,26,1
