"seccion","munn","edon","disloc2016","disloc2013","esc1","esc3","pobtot","SQ","dsi_pob"
1,1,1,11,6,11,11,2331,6,0.604616384118462
2,1,1,11,6,11,11,1165,6,0.604616384118462
3,1,1,11,10,11,11,1986,6,0.604616384118462
4,1,1,11,10,11,11,1793,6,0.604616384118462
5,1,1,11,10,11,11,824,6,0.604616384118462
6,1,1,11,10,11,11,766,6,0.604616384118462
7,1,1,11,10,11,11,887,6,0.604616384118462
8,1,1,11,6,11,11,1274,6,0.604616384118462
9,1,1,11,6,11,11,1295,6,0.604616384118462
10,1,1,11,6,11,11,1277,6,0.604616384118462
11,1,1,11,10,11,11,1454,6,0.604616384118462
12,1,1,11,10,11,11,919,6,0.604616384118462
13,1,1,11,10,11,11,917,6,0.604616384118462
14,1,1,11,10,11,11,1084,6,0.604616384118462
15,1,1,11,10,11,11,1196,6,0.604616384118462
16,1,1,11,6,11,11,992,6,0.604616384118462
17,1,1,11,6,11,11,1194,6,0.604616384118462
18,1,1,11,10,11,11,1194,6,0.604616384118462
19,1,1,13,10,13,13,1189,10,0.57150405692613
20,1,1,13,10,13,13,1192,10,0.57150405692613
21,1,1,13,6,13,13,1496,10,0.57150405692613
22,1,1,13,6,13,13,808,10,0.57150405692613
23,1,1,13,6,13,13,1157,10,0.57150405692613
24,1,1,13,6,13,13,739,10,0.57150405692613
25,1,1,13,6,13,13,1050,10,0.57150405692613
26,1,1,13,6,13,13,1324,10,0.57150405692613
27,1,1,13,6,13,13,634,10,0.57150405692613
28,1,1,12,11,12,12,465,11,0.723280850841979
29,1,1,12,11,12,12,1048,11,0.723280850841979
30,1,1,13,6,13,13,810,10,0.57150405692613
31,1,1,13,10,13,13,1170,10,0.57150405692613
32,1,1,13,10,13,13,1498,10,0.57150405692613
33,1,1,13,6,13,13,1036,10,0.57150405692613
34,1,1,13,10,13,13,967,10,0.57150405692613
35,1,1,13,10,13,13,2719,10,0.57150405692613
36,1,1,13,10,13,13,1016,10,0.57150405692613
37,1,1,13,10,13,13,1250,10,0.57150405692613
38,1,1,13,10,13,13,1499,10,0.57150405692613
39,1,1,13,10,13,13,969,10,0.57150405692613
40,1,1,10,10,10,10,1473,17,0.674123475609756
41,1,1,11,6,11,11,4718,6,0.604616384118462
42,1,1,11,6,11,11,1302,6,0.604616384118462
43,1,1,11,6,11,11,2230,6,0.604616384118462
44,1,1,11,6,11,11,5206,6,0.604616384118462
45,1,1,11,6,11,11,1848,6,0.604616384118462
46,1,1,11,6,11,11,2197,6,0.604616384118462
47,1,1,11,6,11,11,4267,6,0.604616384118462
48,1,1,11,6,11,11,2384,6,0.604616384118462
49,1,1,11,6,11,11,1776,6,0.604616384118462
50,1,1,11,6,11,11,1885,6,0.604616384118462
51,1,1,11,6,11,11,1243,6,0.604616384118462
52,1,1,11,6,11,11,1334,6,0.604616384118462
53,1,1,11,6,11,11,1704,6,0.604616384118462
54,1,1,11,6,11,11,1278,6,0.604616384118462
55,1,1,11,6,11,11,1197,6,0.604616384118462
56,1,1,11,11,11,11,1097,6,0.604616384118462
57,1,1,12,11,12,12,946,11,0.723280850841979
58,1,1,12,11,12,12,752,11,0.723280850841979
59,1,1,12,11,12,12,796,11,0.723280850841979
60,1,1,12,6,12,12,1216,11,0.723280850841979
61,1,1,12,11,12,12,933,11,0.723280850841979
62,1,1,12,11,12,12,816,11,0.723280850841979
63,1,1,12,11,12,12,751,11,0.723280850841979
64,1,1,12,11,12,12,966,11,0.723280850841979
65,1,1,12,11,12,12,681,11,0.723280850841979
66,1,1,12,11,12,12,895,11,0.723280850841979
67,1,1,12,11,12,12,610,11,0.723280850841979
68,1,1,12,11,12,12,684,11,0.723280850841979
69,1,1,12,11,12,12,1030,11,0.723280850841979
70,1,1,12,11,12,12,681,11,0.723280850841979
71,1,1,12,11,12,12,1210,11,0.723280850841979
72,1,1,12,11,12,12,499,11,0.723280850841979
73,1,1,12,11,12,12,862,11,0.723280850841979
74,1,1,12,11,12,12,519,11,0.723280850841979
75,1,1,12,11,12,12,636,11,0.723280850841979
76,1,1,12,11,12,12,459,11,0.723280850841979
77,1,1,12,11,12,12,624,11,0.723280850841979
78,1,1,12,11,12,12,856,11,0.723280850841979
79,1,1,12,11,12,12,878,11,0.723280850841979
80,1,1,16,5,16,16,8392,15,0.0918891316065704
82,1,1,16,5,16,16,15039,15,0.0918891316065704
83,1,1,7,12,7,7,12481,12,0.797884517858437
84,1,1,7,12,7,7,3000,12,0.797884517858437
85,1,1,7,5,7,7,5043,12,0.797884517858437
86,1,1,16,5,16,16,15349,15,0.0918891316065704
87,1,1,16,15,16,16,2771,15,0.0918891316065704
88,1,1,16,15,16,16,1622,15,0.0918891316065704
89,1,1,16,15,16,16,1384,15,0.0918891316065704
90,1,1,16,15,16,16,3940,15,0.0918891316065704
91,1,1,11,15,11,11,1118,6,0.604616384118462
92,1,1,11,15,11,11,957,6,0.604616384118462
93,1,1,8,15,8,8,944,13,0.434282863989764
94,1,1,8,15,8,8,840,13,0.434282863989764
95,1,1,8,15,8,8,1209,13,0.434282863989764
96,1,1,8,15,8,8,3343,13,0.434282863989764
97,1,1,8,5,8,8,1260,13,0.434282863989764
99,1,1,8,13,8,8,2727,13,0.434282863989764
100,1,1,8,5,8,8,1372,13,0.434282863989764
101,1,1,8,15,8,8,2359,13,0.434282863989764
102,1,1,8,15,8,8,1185,13,0.434282863989764
103,1,1,8,15,8,8,1062,13,0.434282863989764
104,1,1,12,15,12,12,656,11,0.723280850841979
105,1,1,12,15,12,12,762,11,0.723280850841979
106,1,1,12,11,12,12,1385,11,0.723280850841979
107,1,1,12,11,12,12,1372,11,0.723280850841979
108,1,1,12,11,12,12,1124,11,0.723280850841979
109,1,1,12,11,12,12,1357,11,0.723280850841979
110,1,1,12,15,12,12,553,11,0.723280850841979
111,1,1,12,15,12,12,1248,11,0.723280850841979
112,1,1,12,15,12,12,1396,11,0.723280850841979
113,1,1,8,15,8,8,1242,13,0.434282863989764
114,1,1,8,15,8,8,1102,13,0.434282863989764
115,1,1,8,15,8,8,1381,13,0.434282863989764
116,1,1,8,13,8,8,12040,13,0.434282863989764
117,1,1,8,13,8,8,1988,13,0.434282863989764
118,1,1,8,13,8,8,8633,13,0.434282863989764
119,1,1,8,15,8,8,4735,13,0.434282863989764
120,1,1,12,15,12,12,919,11,0.723280850841979
121,1,1,12,15,12,12,741,11,0.723280850841979
122,1,1,8,15,8,8,1290,13,0.434282863989764
123,1,1,12,15,12,12,721,11,0.723280850841979
124,1,1,12,15,12,12,562,11,0.723280850841979
125,1,1,15,15,15,15,1195,14,0.490065927142632
126,1,1,9,15,9,9,2765,16,0.211402852099334
127,1,1,9,13,9,9,1573,16,0.211402852099334
128,1,1,9,13,9,9,1069,16,0.211402852099334
129,1,1,9,13,9,9,1149,16,0.211402852099334
130,1,1,9,13,9,9,1728,16,0.211402852099334
131,1,1,9,13,9,9,1176,16,0.211402852099334
132,1,1,9,13,9,9,1105,16,0.211402852099334
133,1,1,9,13,9,9,1325,16,0.211402852099334
134,1,1,9,16,9,9,967,16,0.211402852099334
135,1,1,9,16,9,9,1539,16,0.211402852099334
136,1,1,9,16,9,9,2089,16,0.211402852099334
137,1,1,9,13,9,9,696,16,0.211402852099334
138,1,1,15,15,15,15,1699,14,0.490065927142632
